field_1,centroid_y,centroid_x,Elevation,Depth_avg,Lake_area,Continent
9,42.14351572,-81.23882341,172,19.4,25767.79,North America
12,45.932398,73.93130058,338,6.7,16717.89,Asia
19,66.50987862,-160.6877554,0,4.0,1058.07,North America
27,63.33532023,-118.0572706,249,10.0,1679.89,North America
31,59.55920362,-155.1164468,13,43.8,2634.62,North America
32,58.28720964,-103.1942431,395,20.2,2269.59,North America
34,58.57238141,-112.0709324,207,1.3,1332.93,North America
36,57.45771575,-106.2420699,482,14.9,1155.15,North America
37,57.09425918,-98.61924314,256,10.1,2307.45,North America
38,57.20619323,-102.2951479,335,17.0,5435.48,North America
41,55.11387197,-104.8521118,360,12.7,1296.47,North America
42,55.41564546,-115.7251909,572,11.4,1186.51,North America
43,54.39573663,-70.08384198,526,15.2,3543.41,North America
44,54.61990733,-94.35078381,178,13.5,1024.08,North America
46,53.8544429,-76.73015835,170,22.4,2758.99,North America
48,53.95665489,-99.70018154,253,4.1,1311.82,North America
49,54.15216965,-64.12644588,466,5.6,5814.1,North America
51,53.34098009,-100.36268,253,3.9,2504.26,North America
52,52.37569719,-100.0635623,251,3.2,5035.51,North America
53,50.97984674,-98.9165252,245,3.6,4751.05,North America
56,50.42742133,-92.77838361,355,4.5,1248.75,North America
57,49.300226,-94.79280056,320,10.7,3472.81,North America
59,48.64480486,-72.06255937,96,11.0,1112.79,North America
60,48.52707915,-74.44502931,400,6.5,1318.78,North America
61,48.03954833,-95.08781806,353,3.7,1141.61,North America
62,47.810169,-102.317305,557,26.8,1126.82,North America
63,45.97137689,-61.02478408,0,30.0,1066.74,North America
65,45.52806763,-100.4588738,486,26.6,1092.54,North America
67,41.20547173,-112.6333975,1282,3.5,6478.85,North America
69,26.94756321,-80.80210987,3,4.0,1418.77,North America
77,-9.620955675,-41.2176703,385,13.0,2614.96,South America
80,-19.87616347,-51.01783466,323,19.7,1077.23,South America
82,-24.77823703,-54.38856339,217,25.1,1156.44,South America
84,-29.95728407,-64.82589849,179,0.3,1033.67,South America
85,-30.4993093,-62.65829322,69,2.4,6132.89,South America
86,-32.88069444,-52.83885955,0,6.0,3899.7,South America
87,-46.59196398,-71.29028479,202,400.0,1763.81,South America
89,-49.59831082,-72.58405911,252,100.0,1193.37,South America
92,69.03958875,27.74307208,105,14.3,1098.17,Europe
94,67.72297499,33.15104091,117,10.2,1063.61,Europe
95,63.55629001,34.71869098,73,7.9,1167.6,Europe
97,62.76487175,27.80061906,69,7.8,1133.97,Europe
98,61.89299375,25.50416961,65,14.0,1270.47,Europe
101,60.18017849,37.62362249,98,4.4,1182.4,Europe
102,59.49487075,16.78546184,3,12.9,1083.13,Europe
103,58.42791667,27.48355062,28,7.2,3489.0,Europe
104,58.33265875,14.489715,88,39.2,1888.04,Europe
105,58.88345075,13.55127653,44,27.9,5486.23,Europe
106,58.61104031,55.80870978,104,7.7,1584.87,Europe
107,58.37944173,38.36683736,97,6.3,4042.34,Europe
109,57.32513889,43.17580679,80,6.6,1325.39,Europe
113,54.35739278,82.02669512,106,8.6,1024.14,Europe
114,54.83287311,76.98204532,101,2.1,1966.57,Europe
116,54.59763618,48.65978365,45,11.5,5060.1,Europe
117,52.65958023,5.419687776,0,4.5,1962.7,Europe
118,52.59279012,48.22222931,23,12.0,1073.41,Europe
120,50.44597222,68.89417442,302,0.3,1422.85,Asia
123,48.95923845,117.412319,540,6.2,2121.43,Asia
125,49.28379957,32.7139683,77,7.3,1849.09,Europe
